WILAYAH,KECAMATAN,NAMA FASKES (Rumah Sakit dan Puskesmas),Jenis Penyakit,Januari,latitude,longitude
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit pada sistem pencernaan,302.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit pada kulit dan jaringan subcutaneous,36.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit pada sistem musculoskletal,122.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyakit pada sistem saluran kemih dan genital,25.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Kehamilan dan kelahiran,0.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Keadaan yang berasal dari periode perinatal,1.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",77.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,"Keracunan, cedera dan beberapa penyebab yang dari luar",67.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Penyebab morbiditas dan kematian eksternal,3.0,-7.3315249,112.69002720464968
Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,395.0,-7.3315249,112.69002720464968
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit Infeksi dan parasit,191.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Neoplasma,19.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,"Endokrin, nutrisi dan gangguan metabolik",156.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Gangguan jiwa dan perilaku,22.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit yang mengenai sistem syaraf,51.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit mata dan adnexa,58.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit telinga dan mastoid,57.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit pada sistem sirkulasi,141.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit pada sistem pernafasan,324.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit pada sistem pencernaan,507.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit pada kulit dan jaringan subcutaneous,73.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit pada sistem musculoskletal,152.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyakit pada sistem saluran kemih dan genital,34.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Kehamilan dan kelahiran,16.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Keadaan yang berasal dari periode perinatal,8.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",129.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,"Keracunan, cedera dan beberapa penyebab yang dari luar",41.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Penyebab morbiditas dan kematian eksternal,1.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Tandes,Puskesmas Balongsari,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,664.0,-7.2592288499999995,112.6783010204094
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit Infeksi dan parasit,14.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Neoplasma,2.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,0.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,"Endokrin, nutrisi dan gangguan metabolik",2.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Gangguan jiwa dan perilaku,2.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit yang mengenai sistem syaraf,0.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit mata dan adnexa,11.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit telinga dan mastoid,6.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit pada sistem sirkulasi,7.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit pada sistem pernafasan,27.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit pada sistem pencernaan,179.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit pada kulit dan jaringan subcutaneous,7.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit pada sistem musculoskletal,9.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyakit pada sistem saluran kemih dan genital,4.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Kehamilan dan kelahiran,2.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Keadaan yang berasal dari periode perinatal,0.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",6.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,"Keracunan, cedera dan beberapa penyebab yang dari luar",3.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Penyebab morbiditas dan kematian eksternal,0.0,-7.32492005,112.65610895
Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,51.0,-7.32492005,112.65610895
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit Infeksi dan parasit,134.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Neoplasma,11.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,"Endokrin, nutrisi dan gangguan metabolik",46.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Gangguan jiwa dan perilaku,24.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit yang mengenai sistem syaraf,18.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit mata dan adnexa,65.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit telinga dan mastoid,42.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit pada sistem sirkulasi,82.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit pada sistem pernafasan,465.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit pada sistem pencernaan,504.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit pada kulit dan jaringan subcutaneous,75.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit pada sistem musculoskletal,149.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyakit pada sistem saluran kemih dan genital,35.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Kehamilan dan kelahiran,13.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Keadaan yang berasal dari periode perinatal,2.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,"Malformasi kongenital, deformasi dan kelainan chromosom",3.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",72.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,"Keracunan, cedera dan beberapa penyebab yang dari luar",62.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Penyebab morbiditas dan kematian eksternal,0.0,-7.2715069,112.72002732026792
Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,386.0,-7.2715069,112.72002732026792
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit Infeksi dan parasit,169.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Neoplasma,23.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,4.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,"Endokrin, nutrisi dan gangguan metabolik",96.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Gangguan jiwa dan perilaku,24.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit yang mengenai sistem syaraf,69.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit mata dan adnexa,115.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit telinga dan mastoid,70.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit pada sistem sirkulasi,96.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit pada sistem pernafasan,685.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit pada sistem pencernaan,939.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit pada kulit dan jaringan subcutaneous,151.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit pada sistem musculoskletal,239.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyakit pada sistem saluran kemih dan genital,89.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Kehamilan dan kelahiran,57.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Keadaan yang berasal dari periode perinatal,2.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",200.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,"Keracunan, cedera dan beberapa penyebab yang dari luar",64.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Penyebab morbiditas dan kematian eksternal,1.0,-7.226615000000001,112.60633141090332
Surabaya Barat,Pakal,Puskesmas Benowo,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,1.093,-7.226615000000001,112.60633141090332
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit Infeksi dan parasit,180.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Neoplasma,11.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,4.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,"Endokrin, nutrisi dan gangguan metabolik",153.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Gangguan jiwa dan perilaku,4.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit yang mengenai sistem syaraf,25.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit mata dan adnexa,82.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit telinga dan mastoid,43.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit pada sistem sirkulasi,354.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit pada sistem pernafasan,686.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit pada sistem pencernaan,660.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit pada kulit dan jaringan subcutaneous,196.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit pada sistem musculoskletal,255.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyakit pada sistem saluran kemih dan genital,56.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Kehamilan dan kelahiran,13.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Keadaan yang berasal dari periode perinatal,0.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,"Malformasi kongenital, deformasi dan kelainan chromosom",4.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",176.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,"Keracunan, cedera dan beberapa penyebab yang dari luar",59.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Penyebab morbiditas dan kematian eksternal,0.0,-7.2177947,112.76627915520368
Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,300.0,-7.2177947,112.76627915520368
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit Infeksi dan parasit,140.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Neoplasma,31.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,4.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,"Endokrin, nutrisi dan gangguan metabolik",105.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Gangguan jiwa dan perilaku,15.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit yang mengenai sistem syaraf,22.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit mata dan adnexa,85.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit telinga dan mastoid,46.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit pada sistem sirkulasi,115.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit pada sistem pernafasan,475.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit pada sistem pencernaan,371.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit pada kulit dan jaringan subcutaneous,151.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit pada sistem musculoskletal,180.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyakit pada sistem saluran kemih dan genital,36.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Kehamilan dan kelahiran,1.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Keadaan yang berasal dari periode perinatal,1.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,"Malformasi kongenital, deformasi dan kelainan chromosom",2.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",60.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,"Keracunan, cedera dan beberapa penyebab yang dari luar",78.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Penyebab morbiditas dan kematian eksternal,0.0,-7.277351550000001,112.73410309766004
Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,277.0,-7.277351550000001,112.73410309766004
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit Infeksi dan parasit,151.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Neoplasma,29.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,12.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,"Endokrin, nutrisi dan gangguan metabolik",76.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Gangguan jiwa dan perilaku,3.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit yang mengenai sistem syaraf,26.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit mata dan adnexa,112.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit telinga dan mastoid,47.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem sirkulasi,135.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem pernafasan,565.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem pencernaan,584.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada kulit dan jaringan subcutaneous,147.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem musculoskletal,268.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyakit pada sistem saluran kemih dan genital,33.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Kehamilan dan kelahiran,12.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Keadaan yang berasal dari periode perinatal,2.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",272.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,"Keracunan, cedera dan beberapa penyebab yang dari luar",56.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Penyebab morbiditas dan kematian eksternal,2.0,-7.2832360000000005,112.71222568060509
Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,474.0,-7.2832360000000005,112.71222568060509
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit Infeksi dan parasit,180.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Neoplasma,5.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,4.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,"Endokrin, nutrisi dan gangguan metabolik",56.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Gangguan jiwa dan perilaku,27.0,-7.2393518,112.71726505000001
Surabaya Utara,Krembangan,Puskesmas Dupak,Penyakit yang mengenai sistem syaraf,28.0,-7.2393518,112.71726505000001
