WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Februari
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Endokrin, nutrisi dan gangguan metabolik;37
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gangguan jiwa dan perilaku;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit yang mengenai sistem syaraf;15
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit mata dan adnexa;26
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit telinga dan mastoid;48
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem sirkulasi;31
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pernafasan;289
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pencernaan;294
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada kulit dan jaringan subcutaneous;38
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem musculoskletal;112
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem saluran kemih dan genital;17
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Kehamilan dan kelahiran;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keadaan yang berasal dari periode perinatal;0
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;95
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keracunan, cedera dan beberapa penyebab yang dari luar;61
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;293
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit Infeksi dan parasit;101
Surabaya Barat;Tandes;Puskesmas Balongsari;Neoplasma;12
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Barat;Tandes;Puskesmas Balongsari;Endokrin, nutrisi dan gangguan metabolik;74
Surabaya Barat;Tandes;Puskesmas Balongsari;Gangguan jiwa dan perilaku;21
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit yang mengenai sistem syaraf;46
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit mata dan adnexa;67
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit telinga dan mastoid;44
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem sirkulasi;123
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pernafasan;355
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pencernaan;434
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada kulit dan jaringan subcutaneous;83
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem musculoskletal;113
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem saluran kemih dan genital;26
Surabaya Barat;Tandes;Puskesmas Balongsari;Kehamilan dan kelahiran;14
Surabaya Barat;Tandes;Puskesmas Balongsari;Keadaan yang berasal dari periode perinatal;3
Surabaya Barat;Tandes;Puskesmas Balongsari;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Barat;Tandes;Puskesmas Balongsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;90
Surabaya Barat;Tandes;Puskesmas Balongsari;Keracunan, cedera dan beberapa penyebab yang dari luar;48
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Tandes;Puskesmas Balongsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;556
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit Infeksi dan parasit;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Neoplasma;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Endokrin, nutrisi dan gangguan metabolik;5
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gangguan jiwa dan perilaku;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit yang mengenai sistem syaraf;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit mata dan adnexa;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit telinga dan mastoid;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem sirkulasi;7
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pernafasan;22
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pencernaan;204
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada kulit dan jaringan subcutaneous;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem musculoskletal;5
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem saluran kemih dan genital;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Kehamilan dan kelahiran;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;5
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keracunan, cedera dan beberapa penyebab yang dari luar;8
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;45
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit Infeksi dan parasit;101
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Neoplasma;11
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Endokrin, nutrisi dan gangguan metabolik;32
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gangguan jiwa dan perilaku;18
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit yang mengenai sistem syaraf;23
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit mata dan adnexa;56
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit telinga dan mastoid;26
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem sirkulasi;36
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pernafasan;436
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pencernaan;446
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada kulit dan jaringan subcutaneous;85
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem musculoskletal;107
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem saluran kemih dan genital;33
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Kehamilan dan kelahiran;8
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keadaan yang berasal dari periode perinatal;0
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;60
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keracunan, cedera dan beberapa penyebab yang dari luar;50
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyebab morbiditas dan kematian eksternal;3
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;428
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit Infeksi dan parasit;170
Surabaya Barat;Pakal;Puskesmas Benowo;Neoplasma;22
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Barat;Pakal;Puskesmas Benowo;Endokrin, nutrisi dan gangguan metabolik;87
Surabaya Barat;Pakal;Puskesmas Benowo;Gangguan jiwa dan perilaku;20
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit yang mengenai sistem syaraf;64
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit mata dan adnexa;93
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit telinga dan mastoid;56
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem sirkulasi;100
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pernafasan;637
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pencernaan;862
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada kulit dan jaringan subcutaneous;144
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem musculoskletal;247
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem saluran kemih dan genital;76
Surabaya Barat;Pakal;Puskesmas Benowo;Kehamilan dan kelahiran;35
Surabaya Barat;Pakal;Puskesmas Benowo;Keadaan yang berasal dari periode perinatal;1
Surabaya Barat;Pakal;Puskesmas Benowo;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Pakal;Puskesmas Benowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;207
Surabaya Barat;Pakal;Puskesmas Benowo;Keracunan, cedera dan beberapa penyebab yang dari luar;68
Surabaya Barat;Pakal;Puskesmas Benowo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Pakal;Puskesmas Benowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;747
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit Infeksi dan parasit;142
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Neoplasma;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Endokrin, nutrisi dan gangguan metabolik;157
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gangguan jiwa dan perilaku;2
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit yang mengenai sistem syaraf;29
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit mata dan adnexa;43
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit telinga dan mastoid;48
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem sirkulasi;241
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pernafasan;534
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pencernaan;533
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada kulit dan jaringan subcutaneous;147
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem musculoskletal;224
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem saluran kemih dan genital;46
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Kehamilan dan kelahiran;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keadaan yang berasal dari periode perinatal;0
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;108
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keracunan, cedera dan beberapa penyebab yang dari luar;63
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyebab morbiditas dan kematian eksternal;0
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;281
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit Infeksi dan parasit;168
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Neoplasma;10
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Endokrin, nutrisi dan gangguan metabolik;106
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gangguan jiwa dan perilaku;11
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit yang mengenai sistem syaraf;26
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit mata dan adnexa;92
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit telinga dan mastoid;37
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem sirkulasi;106
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pernafasan;519
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pencernaan;298
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada kulit dan jaringan subcutaneous;144
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem musculoskletal;181
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem saluran kemih dan genital;33
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Kehamilan dan kelahiran;2
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keadaan yang berasal dari periode perinatal;2
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;74
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keracunan, cedera dan beberapa penyebab yang dari luar;57
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;179
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit Infeksi dan parasit;138
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Neoplasma;31
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Endokrin, nutrisi dan gangguan metabolik;61
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gangguan jiwa dan perilaku;4
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit yang mengenai sistem syaraf;20
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit mata dan adnexa;104
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit telinga dan mastoid;28
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem sirkulasi;129
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pernafasan;555
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pencernaan;527
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada kulit dan jaringan subcutaneous;147
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem musculoskletal;291
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem saluran kemih dan genital;46
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Kehamilan dan kelahiran;9
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keadaan yang berasal dari periode perinatal;0
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;245
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keracunan, cedera dan beberapa penyebab yang dari luar;52
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;377
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit Infeksi dan parasit;181
Surabaya Utara;Krembangan;Puskesmas Dupak;Neoplasma;5
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Utara;Krembangan;Puskesmas Dupak;Endokrin, nutrisi dan gangguan metabolik;71
Surabaya Utara;Krembangan;Puskesmas Dupak;Gangguan jiwa dan perilaku;6
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit yang mengenai sistem syaraf;24
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit mata dan adnexa;52
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit telinga dan mastoid;43
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem sirkulasi;72
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pernafasan;618
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pencernaan;344
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada kulit dan jaringan subcutaneous;136
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem musculoskletal;170
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem saluran kemih dan genital;33
Surabaya Utara;Krembangan;Puskesmas Dupak;Kehamilan dan kelahiran;39
Surabaya Utara;Krembangan;Puskesmas Dupak;Keadaan yang berasal dari periode perinatal;1
Surabaya Utara;Krembangan;Puskesmas Dupak;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Utara;Krembangan;Puskesmas Dupak;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;90
Surabaya Utara;Krembangan;Puskesmas Dupak;Keracunan, cedera dan beberapa penyebab yang dari luar;63
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyebab morbiditas dan kematian eksternal;5
Surabaya Utara;Krembangan;Puskesmas Dupak;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;182
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit Infeksi dan parasit;65
Surabaya Timur;Tambaksari;Puskesmas Gading;Neoplasma;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Endokrin, nutrisi dan gangguan metabolik;23
Surabaya Timur;Tambaksari;Puskesmas Gading;Gangguan jiwa dan perilaku;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit yang mengenai sistem syaraf;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit mata dan adnexa;10
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit telinga dan mastoid;10
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem sirkulasi;33
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pernafasan;234
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pencernaan;298
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada kulit dan jaringan subcutaneous;41
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem musculoskletal;28
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem saluran kemih dan genital;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Kehamilan dan kelahiran;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Keadaan yang berasal dari periode perinatal;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;121
Surabaya Timur;Tambaksari;Puskesmas Gading;Keracunan, cedera dan beberapa penyebab yang dari luar;7
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;628
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit Infeksi dan parasit;117
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Neoplasma;19
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Endokrin, nutrisi dan gangguan metabolik;116
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gangguan jiwa dan perilaku;19
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit yang mengenai sistem syaraf;21
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit mata dan adnexa;97
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit telinga dan mastoid;35
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem sirkulasi;127
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pernafasan;477
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pencernaan;498
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada kulit dan jaringan subcutaneous;84
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem musculoskletal;162
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem saluran kemih dan genital;47
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Kehamilan dan kelahiran;36
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;82
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keracunan, cedera dan beberapa penyebab yang dari luar;45
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyebab morbiditas dan kematian eksternal;5
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;445
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit Infeksi dan parasit;131
Surabaya Pusat;Bubutan;Puskesmas Gundih;Neoplasma;12
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Pusat;Bubutan;Puskesmas Gundih;Endokrin, nutrisi dan gangguan metabolik;56
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gangguan jiwa dan perilaku;12
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit yang mengenai sistem syaraf;16
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit mata dan adnexa;35
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit telinga dan mastoid;56
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem sirkulasi;48
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pernafasan;702
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pencernaan;395
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada kulit dan jaringan subcutaneous;140
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem musculoskletal;163
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem saluran kemih dan genital;21
